station,date,year,month,day,tmax_c,tmax_f,qc_flag
USW00013958,1938-06-01,1938,6,1,32.8,91.04,
USW00013958,1938-06-02,1938,6,2,34.4,93.92,
USW00013958,1938-06-03,1938,6,3,34.4,93.92,
USW00013958,1938-06-04,1938,6,4,32.2,89.96,
USW00013958,1938-06-05,1938,6,5,34.4,93.92,
USW00013958,1938-06-06,1938,6,6,33.3,91.94,
USW00013958,1938-06-07,1938,6,7,35.0,95.0,
USW00013958,1938-06-08,1938,6,8,33.3,91.94,
USW00013958,1938-06-09,1938,6,9,30.6,87.08,
USW00013958,1938-06-10,1938,6,10,32.2,89.96,
USW00013958,1938-06-11,1938,6,11,33.3,91.94,
USW00013958,1938-06-12,1938,6,12,32.8,91.04,
USW00013958,1938-06-13,1938,6,13,32.8,91.04,
USW00013958,1938-06-14,1938,6,14,32.8,91.04,
USW00013958,1938-06-15,1938,6,15,31.7,89.06,
USW00013958,1938-06-16,1938,6,16,31.7,89.06,
USW00013958,1938-06-17,1938,6,17,32.2,89.96,
USW00013958,1938-06-18,1938,6,18,32.2,89.96,
USW00013958,1938-06-19,1938,6,19,33.9,93.02,
USW00013958,1938-06-20,1938,6,20,34.4,93.92,
USW00013958,1938-06-21,1938,6,21,35.0,95.0,
USW00013958,1938-06-22,1938,6,22,33.9,93.02,
USW00013958,1938-06-23,1938,6,23,33.3,91.94,
USW00013958,1938-06-24,1938,6,24,34.4,93.92,
USW00013958,1938-06-25,1938,6,25,33.9,93.02,
USW00013958,1938-06-26,1938,6,26,34.4,93.92,
USW00013958,1938-06-27,1938,6,27,33.9,93.02,
USW00013958,1938-06-28,1938,6,28,33.3,91.94,
USW00013958,1938-06-29,1938,6,29,33.3,91.94,
USW00013958,1938-06-30,1938,6,30,33.3,91.94,
USW00013958,1938-07-01,1938,7,1,34.4,93.92,
USW00013958,1938-07-02,1938,7,2,35.0,95.0,
USW00013958,1938-07-03,1938,7,3,35.0,95.0,
USW00013958,1938-07-04,1938,7,4,35.6,96.08,
USW00013958,1938-07-05,1938,7,5,36.7,98.06,
USW00013958,1938-07-06,1938,7,6,36.7,98.06,
USW00013958,1938-07-07,1938,7,7,36.1,96.98,
USW00013958,1938-07-08,1938,7,8,35.0,95.0,
USW00013958,1938-07-09,1938,7,9,35.6,96.08,
USW00013958,1938-07-10,1938,7,10,36.1,96.98,
USW00013958,1938-07-11,1938,7,11,35.6,96.08,
USW00013958,1938-07-12,1938,7,12,36.1,96.98,
USW00013958,1938-07-13,1938,7,13,35.6,96.08,
USW00013958,1938-07-14,1938,7,14,36.1,96.98,
USW00013958,1938-07-15,1938,7,15,36.1,96.98,
USW00013958,1938-07-16,1938,7,16,36.1,96.98,
USW00013958,1938-07-17,1938,7,17,37.2,98.96,
USW00013958,1938-07-18,1938,7,18,36.7,98.06,
USW00013958,1938-07-19,1938,7,19,35.0,95.0,
USW00013958,1938-07-20,1938,7,20,35.0,95.0,
USW00013958,1938-07-21,1938,7,21,31.7,89.06,
USW00013958,1938-07-22,1938,7,22,30.6,87.08,
USW00013958,1938-07-23,1938,7,23,28.9,84.02,
USW00013958,1938-07-24,1938,7,24,32.2,89.96,
USW00013958,1938-07-25,1938,7,25,34.4,93.92,
USW00013958,1938-07-26,1938,7,26,34.4,93.92,
USW00013958,1938-07-27,1938,7,27,35.0,95.0,
USW00013958,1938-07-28,1938,7,28,36.1,96.98,
USW00013958,1938-07-29,1938,7,29,36.7,98.06,
USW00013958,1938-07-30,1938,7,30,35.6,96.08,
USW00013958,1938-07-31,1938,7,31,36.7,98.06,
USW00013958,1938-08-01,1938,8,1,36.7,98.06,
USW00013958,1938-08-02,1938,8,2,35.6,96.08,
USW00013958,1938-08-03,1938,8,3,33.9,93.02,
USW00013958,1938-08-04,1938,8,4,33.9,93.02,
USW00013958,1938-08-05,1938,8,5,35.6,96.08,
USW00013958,1938-08-06,1938,8,6,35.6,96.08,
USW00013958,1938-08-07,1938,8,7,36.1,96.98,
USW00013958,1938-08-08,1938,8,8,36.7,98.06,
USW00013958,1938-08-09,1938,8,9,36.7,98.06,
USW00013958,1938-08-10,1938,8,10,36.7,98.06,
USW00013958,1938-08-11,1938,8,11,35.0,95.0,
USW00013958,1938-08-12,1938,8,12,36.1,96.98,
USW00013958,1938-08-13,1938,8,13,36.1,96.98,
USW00013958,1938-08-14,1938,8,14,36.7,98.06,
USW00013958,1938-08-15,1938,8,15,38.3,100.94,
USW00013958,1938-08-16,1938,8,16,37.8,100.04,
USW00013958,1938-08-17,1938,8,17,36.1,96.98,
USW00013958,1938-08-18,1938,8,18,36.7,98.06,
USW00013958,1938-08-19,1938,8,19,36.7,98.06,
USW00013958,1938-08-20,1938,8,20,36.1,96.98,
USW00013958,1938-08-21,1938,8,21,36.7,98.06,
USW00013958,1938-08-22,1938,8,22,36.7,98.06,
USW00013958,1938-08-23,1938,8,23,36.7,98.06,
USW00013958,1938-08-24,1938,8,24,35.6,96.08,
USW00013958,1938-08-25,1938,8,25,35.6,96.08,
USW00013958,1938-08-26,1938,8,26,36.1,96.98,
USW00013958,1938-08-27,1938,8,27,37.2,98.96,
USW00013958,1938-08-28,1938,8,28,28.9,84.02,
USW00013958,1938-08-29,1938,8,29,30.6,87.08,
USW00013958,1938-08-30,1938,8,30,35.0,95.0,
USW00013958,1938-08-31,1938,8,31,35.0,95.0,
USW00013958,1939-06-01,1939,6,1,29.4,84.92,
USW00013958,1939-06-02,1939,6,2,30.6,87.08,
USW00013958,1939-06-03,1939,6,3,31.1,87.98,
USW00013958,1939-06-04,1939,6,4,26.1,78.98,
USW00013958,1939-06-05,1939,6,5,32.8,91.04,
USW00013958,1939-06-06,1939,6,6,33.3,91.94,
USW00013958,1939-06-07,1939,6,7,33.3,91.94,
USW00013958,1939-06-08,1939,6,8,34.4,93.92,
USW00013958,1939-06-09,1939,6,9,35.6,96.08,
USW00013958,1939-06-10,1939,6,10,36.7,98.06,
USW00013958,1939-06-11,1939,6,11,35.6,96.08,
USW00013958,1939-06-12,1939,6,12,35.0,95.0,
USW00013958,1939-06-13,1939,6,13,35.0,95.0,
USW00013958,1939-06-14,1939,6,14,37.2,98.96,
USW00013958,1939-06-15,1939,6,15,38.3,100.94,
USW00013958,1939-06-16,1939,6,16,37.2,98.96,
USW00013958,1939-06-17,1939,6,17,36.1,96.98,
USW00013958,1939-06-18,1939,6,18,35.6,96.08,
USW00013958,1939-06-19,1939,6,19,30.0,86.0,
USW00013958,1939-06-20,1939,6,20,32.2,89.96,
USW00013958,1939-06-21,1939,6,21,35.0,95.0,
USW00013958,1939-06-22,1939,6,22,33.3,91.94,
USW00013958,1939-06-23,1939,6,23,35.6,96.08,
USW00013958,1939-06-24,1939,6,24,35.6,96.08,
USW00013958,1939-06-25,1939,6,25,35.6,96.08,
USW00013958,1939-06-26,1939,6,26,36.7,98.06,
USW00013958,1939-06-27,1939,6,27,36.7,98.06,
USW00013958,1939-06-28,1939,6,28,36.1,96.98,
USW00013958,1939-06-29,1939,6,29,37.8,100.04,
USW00013958,1939-06-30,1939,6,30,34.4,93.92,
USW00013958,1939-07-01,1939,7,1,37.2,98.96,
USW00013958,1939-07-02,1939,7,2,38.9,102.02,
USW00013958,1939-07-03,1939,7,3,38.9,102.02,
USW00013958,1939-07-04,1939,7,4,38.9,102.02,
USW00013958,1939-07-05,1939,7,5,40.0,104.0,
USW00013958,1939-07-06,1939,7,6,39.4,102.92,
USW00013958,1939-07-07,1939,7,7,39.4,102.92,
USW00013958,1939-07-08,1939,7,8,42.2,107.96,
USW00013958,1939-07-09,1939,7,9,39.4,102.92,
USW00013958,1939-07-10,1939,7,10,35.6,96.08,
USW00013958,1939-07-11,1939,7,11,28.9,84.02,
USW00013958,1939-07-12,1939,7,12,25.0,77.0,
USW00013958,1939-07-13,1939,7,13,32.8,91.04,
USW00013958,1939-07-14,1939,7,14,33.9,93.02,
USW00013958,1939-07-15,1939,7,15,35.6,96.08,
USW00013958,1939-07-16,1939,7,16,35.0,95.0,
USW00013958,1939-07-17,1939,7,17,35.0,95.0,
USW00013958,1939-07-18,1939,7,18,35.0,95.0,
USW00013958,1939-07-19,1939,7,19,36.1,96.98,
USW00013958,1939-07-20,1939,7,20,36.7,98.06,
USW00013958,1939-07-21,1939,7,21,36.7,98.06,
USW00013958,1939-07-22,1939,7,22,37.2,98.96,
USW00013958,1939-07-23,1939,7,23,35.0,95.0,
USW00013958,1939-07-24,1939,7,24,35.6,96.08,
USW00013958,1939-07-25,1939,7,25,35.0,95.0,
USW00013958,1939-07-26,1939,7,26,35.0,95.0,
USW00013958,1939-07-27,1939,7,27,36.1,96.98,
USW00013958,1939-07-28,1939,7,28,37.2,98.96,
USW00013958,1939-07-29,1939,7,29,35.0,95.0,
USW00013958,1939-07-30,1939,7,30,35.0,95.0,
USW00013958,1939-07-31,1939,7,31,34.4,93.92,
USW00013958,1939-08-01,1939,8,1,32.2,89.96,
USW00013958,1939-08-02,1939,8,2,30.0,86.0,
USW00013958,1939-08-03,1939,8,3,34.4,93.92,
USW00013958,1939-08-04,1939,8,4,33.9,93.02,
